evaluation_id,project_id,project_name,category,input_text,expected_output,reviewer_decision,reviewer_notes,quality_score,related_record_id,provenance
GE-011,PROJ-001,AI Agent,Requirement Summary,The application should accept user questions through the CLI and return an AI-generated response.,The system shall accept a valid user question through the CLI and return a generated response.,ACCEPTED,Requirement captures the core user interaction clearly.,5,REQ-004;REQ-009,project_derived
GE-012,PROJ-001,AI Agent,Requirement Summary,The agent should classify questions and route them to the appropriate capability.,The system shall classify supported queries and route them to the corresponding processing capability.,ACCEPTED,Requirement correctly represents the routing workflow.,5,REQ-007;REQ-008,project_derived
GE-013,PROJ-001,AI Agent,Test Case Generation,Enter a normal general question in the CLI.,Generate a positive test case verifying that the question is accepted and a relevant AI response is returned.,ACCEPTED,Positive user-input scenario is appropriate.,5,TC-005;TC-019,project_derived
GE-014,PROJ-001,AI Agent,Test Case Generation,Enter an empty or whitespace-only message.,Generate a negative/edge test case verifying that empty input is handled without unnecessary AI processing.,ACCEPTED,Covers an important input boundary.,5,TC-006;TC-007,project_derived
GE-015,PROJ-001,AI Agent,Defect Triage,The application crashes when the calculator receives an invalid expression.,The probable root cause is insufficient calculator input validation; recommend validating expressions and returning a controlled calculation error.,ACCEPTED,Root-cause recommendation is appropriate.,5,TC-026;REQ-010,project_derived
GE-016,PROJ-001,AI Agent,Defect Triage,The research capability fails when the external search service is unavailable.,The probable root cause is an unhandled external search-service failure; recommend exception handling and a controlled fallback error.,ACCEPTED,Correctly identifies external dependency failure.,5,TC-036;REQ-012,project_derived
GE-017,PROJ-001,AI Agent,Log Analysis,Calculator returned a division-by-zero error.,The issue should be associated with calculator validation and handled as a controlled calculation error rather than an application crash.,ACCEPTED,Correct triage for a calculation edge case.,5,REQ-010;TC-025,project_derived
GE-018,PROJ-001,AI Agent,Log Analysis,Web search request failed while retrieving results.,The probable cause is an external search-service failure; recommend safe exception handling and a controlled no-results/error response.,ACCEPTED,Log diagnosis is grounded in the available context.,5,REQ-012;TC-036,project_derived
GE-019,PROJ-001,AI Agent,Release Notes,Release 0.3.0 introduced calculator and datetime capabilities.,"The release note should mention calculator processing, datetime handling, and routing of supported queries to these capabilities.",ACCEPTED,Release summary accurately describes the capability.,5,REL-003,project_derived
GE-020,PROJ-001,AI Agent,Release Notes,Release 0.5.0 improved web research and source references.,"The release note should mention web search, research synthesis, source references, and improved handling of search failures.",ACCEPTED,Release summary covers the relevant research improvements.,5,REL-005,project_derived
GE-021,PROJ-002,AI Image Analyzer,Requirement Summary,The application must allow users to upload JPG PNG or WEBP images up to 10 MB.,The system should accept supported image formats and reject files larger than 10 MB before analysis.,ACCEPTED,Expected requirement summary is complete and concise.,5,REQ-017;REQ-018;REQ-019,project_derived
GE-022,PROJ-002,AI Image Analyzer,Requirement Summary,The system should analyze images and identify objects scenes summaries and text.,The requirement summary should mention AI-based image analysis including object detection scene analysis image summary and OCR.,ACCEPTED,All major analysis capabilities are represented.,5,REQ-021;REQ-022;REQ-023;REQ-024;REQ-025,project_derived
GE-023,PROJ-002,AI Image Analyzer,Test Case Generation,Upload a PNG image that is smaller than 10 MB.,Generate a positive test case verifying that the image is accepted and sent for analysis.,ACCEPTED,Positive upload scenario is correct.,5,TC-052,project_derived
GE-024,PROJ-002,AI Image Analyzer,Test Case Generation,Upload a PDF file instead of an image.,Generate a negative test case verifying that unsupported file types are rejected with a controlled validation error.,ACCEPTED,Negative validation scenario is correct.,5,TC-054,project_derived
GE-025,PROJ-002,AI Image Analyzer,Defect Triage,An image larger than 10 MB is accepted.,The probable root cause is missing or incorrect file-size validation and the recommendation is to enforce the configured 10 MB limit.,ACCEPTED,Root cause and recommendation match the defect.,5,BUG-084,project_derived
GE-026,PROJ-002,AI Image Analyzer,Defect Triage,Follow-up questions lose the analyzed image context.,The probable root cause is failure to preserve image context between requests and the recommendation is to maintain the analyzed-image state for follow-up processing.,ACCEPTED,Context-loss diagnosis is appropriate.,5,BUG-099,project_derived
GE-027,PROJ-002,AI Image Analyzer,Log Analysis,Unsupported image format: application/pdf,The probable root cause is an unsupported file type and the related defect should be BUG-082.,ACCEPTED,Log-to-defect mapping is clear.,5,BUG-082,project_derived
GE-028,PROJ-002,AI Image Analyzer,Log Analysis,AI analysis request exceeded timeout.,The probable root cause is an AI service timeout and the related defect should be BUG-087; recommend timeout handling and controlled error responses.,ACCEPTED,Timeout triage is correct.,5,BUG-087,project_derived
GE-029,PROJ-002,AI Image Analyzer,Release Notes,Release 0.3.0 added AI image analysis capabilities.,"The release note should mention image analysis object detection scene analysis image summaries and OCR, along with controlled handling of AI-service failures.",ACCEPTED,Release summary reflects the implemented capabilities.,5,REL-013,project_derived
GE-030,PROJ-002,AI Image Analyzer,Release Notes,Release 0.4.0 added follow-up questions and frontend result handling.,The release note should mention follow-up image questions result display loading states API communication and improved error handling.,ACCEPTED,Release summary accurately describes the sprint.,5,REL-014,project_derived
GE-201,PROJ-003,Document Summary Assistant,Requirement,The system shall allow a user to upload a document for summarization.,User can submit a document for summarization.,PASS,Requirement is clear and testable.,5,REQ-033,project_derived
GE-202,PROJ-003,Document Summary Assistant,Requirement,The system shall accept PDF and DOCX documents for summarization.,PDF and DOCX uploads are accepted.,PASS,Supported formats are explicitly defined.,5,REQ-034,project_derived
GE-203,PROJ-003,Document Summary Assistant,Requirement,The system shall reject documents larger than the configured 10 MB limit.,Documents exceeding 10 MB are rejected.,PASS,File-size behavior is measurable.,5,REQ-035,project_derived
GE-204,PROJ-003,Document Summary Assistant,Requirement,The system shall extract readable text from PDF documents.,Readable PDF text is extracted for summarization.,PASS,PDF extraction behavior is clearly specified.,5,REQ-036,project_derived
GE-205,PROJ-003,Document Summary Assistant,Requirement,The system shall extract paragraph text from DOCX documents.,Readable DOCX paragraph text is extracted.,PASS,DOCX extraction behavior is testable.,5,REQ-037,project_derived
GE-217,PROJ-003,Document Summary Assistant,Test Case,Verify a valid PDF document can be uploaded.,Valid PDF under the size limit is accepted for processing.,PASS,Positive upload scenario directly validates document upload.,5,TC-101,project_derived
GE-218,PROJ-003,Document Summary Assistant,Test Case,Verify a valid DOCX document can be uploaded.,Valid DOCX under the size limit is accepted for processing.,PASS,Positive DOCX upload scenario is appropriate.,5,TC-102,project_derived
GE-219,PROJ-003,Document Summary Assistant,Test Case,Verify an unsupported file type is rejected.,Unsupported file is rejected with controlled validation.,PASS,Negative format scenario is covered.,5,TC-103,project_derived
GE-220,PROJ-003,Document Summary Assistant,Test Case,Verify a document larger than 10 MB is rejected.,Oversized document is rejected before processing.,PASS,Boundary validation is directly tested.,5,TC-105,project_derived
GE-221,PROJ-003,Document Summary Assistant,Test Case,Verify readable text is extracted from a PDF.,Readable PDF content is available for summarization.,PASS,PDF extraction scenario maps directly to requirement.,5,TC-107,project_derived
GE-231,PROJ-004,AI Email Generator,Requirement,The system shall generate an email from user-provided bullet points.,Valid bullet points produce a subject and body.,PASS,Core generation behavior is clearly testable.,5,REQ-049,project_derived
GE-232,PROJ-004,AI Email Generator,Requirement,The system shall support Professional Friendly and Formal email tones.,Each supported tone influences generated email style.,PASS,Tone choices are explicit and testable.,5,REQ-050,project_derived
GE-233,PROJ-004,AI Email Generator,Requirement,The system shall reject email-generation requests without bullet points.,Missing bullet points return a controlled validation error.,PASS,Negative validation behavior is clear.,5,REQ-051,project_derived
GE-234,PROJ-004,AI Email Generator,Requirement,The system shall use Google Gemini to generate email content.,Configured Gemini service generates email content.,PASS,AI integration is directly stated.,5,REQ-052,project_derived
GE-235,PROJ-004,AI Email Generator,Requirement,The AI generation service shall return subject and body fields.,Successful generation contains subject and body.,PASS,Structured result is measurable.,5,REQ-053,project_derived
GE-247,PROJ-004,AI Email Generator,Test Case,Generate email from valid bullet points.,Subject and body are generated successfully.,PASS,Positive generation scenario directly validates core behavior.,5,TC-151,project_derived
GE-248,PROJ-004,AI Email Generator,Test Case,Generate using Friendly tone.,Generated email uses Friendly tone.,PASS,Tone behavior is directly verified.,5,TC-153,project_derived
GE-249,PROJ-004,AI Email Generator,Test Case,Generate without bullet points.,Controlled validation error is returned.,PASS,Negative input scenario is appropriate.,5,TC-155,project_derived
GE-250,PROJ-004,AI Email Generator,Test Case,Handle missing Gemini API key.,Controlled configuration error is returned.,PASS,Configuration failure is directly tested.,5,TC-164,project_derived
GE-251,PROJ-004,AI Email Generator,Test Case,Verify a valid email draft.,Verification returns isCorrect and suggestions.,PASS,Positive verification scenario is clear.,5,TC-173,project_derived
GE-261,PROJ-005,Smart FAQ Bot,Requirement,The system shall allow users to upload between 1 and 10 PDF files.,One to ten PDFs are accepted and more than ten are rejected.,PASS,File-count requirement is measurable.,5,REQ-065,project_derived
GE-262,PROJ-005,Smart FAQ Bot,Requirement,The system shall accept only PDF files.,Non-PDF uploads are rejected with a controlled error.,PASS,File-type validation is explicit.,5,REQ-066,project_derived
GE-263,PROJ-005,Smart FAQ Bot,Requirement,The system shall reject PDF files larger than 25 MB.,Files above 25 MB are rejected.,PASS,Boundary is measurable.,5,REQ-067,project_derived
GE-264,PROJ-005,Smart FAQ Bot,Requirement,The system shall extract text from PDFs using PyMuPDF.,Readable page text and page metadata are extracted.,PASS,Extraction behavior is specific.,5,REQ-068,project_derived
GE-265,PROJ-005,Smart FAQ Bot,Requirement,The system shall split extracted PDF text into chunks.,Chunks are generated using configured size and overlap.,PASS,Chunking is directly testable.,5,REQ-069,project_derived
GE-277,PROJ-005,Smart FAQ Bot,Test Case,Upload one valid PDF.,PDF is accepted and indexed.,PASS,Positive upload scenario is appropriate.,5,TC-201,project_derived
GE-278,PROJ-005,Smart FAQ Bot,Test Case,Reject eleven PDFs.,HTTP 400 is returned for excessive file count.,PASS,Boundary negative case is clear.,5,TC-203,project_derived
GE-279,PROJ-005,Smart FAQ Bot,Test Case,Reject a non-PDF file.,Controlled invalid-file error is returned.,PASS,Format validation is directly tested.,5,TC-204,project_derived
GE-280,PROJ-005,Smart FAQ Bot,Test Case,Reject a PDF larger than 25 MB.,Controlled file-size error is returned.,PASS,Size boundary is directly tested.,5,TC-208,project_derived
GE-281,PROJ-005,Smart FAQ Bot,Test Case,Extract text and page metadata from PDF.,Text is extracted with filename and page number.,PASS,Extraction behavior is directly validated.,5,TC-210,project_derived
GE-291,PROJ-006,Meeting Transcript & Minutes Generator,Requirement,The system shall expose a health endpoint.,GET / returns status healthy with HTTP 200.,PASS,Health behavior is explicit and testable.,5,REQ-081,project_derived
GE-292,PROJ-006,Meeting Transcript & Minutes Generator,Requirement,The system shall accept a meeting transcript as text.,A non-empty transcript can be submitted for minutes generation.,PASS,Core text-input behavior is measurable.,5,REQ-082,project_derived
GE-293,PROJ-006,Meeting Transcript & Minutes Generator,Requirement,The system shall allow TXT transcript uploads.,Valid TXT content is returned as transcript text.,PASS,Upload behavior is explicit.,5,REQ-083,project_derived
GE-294,PROJ-006,Meeting Transcript & Minutes Generator,Requirement,The system shall reject non-TXT transcript uploads.,Invalid transcript file types return controlled errors.,PASS,Validation rule is directly testable.,5,REQ-084,project_derived
GE-295,PROJ-006,Meeting Transcript & Minutes Generator,Requirement,The system shall accept supported audio and video recordings.,Supported media extensions are accepted.,PASS,Supported format list is explicit.,5,REQ-085,project_derived
GE-307,PROJ-006,Meeting Transcript & Minutes Generator,Test Case,Submit a valid meeting transcript.,Structured meeting minutes are returned.,PASS,Positive generation case validates the core workflow.,5,TC-302,project_derived
GE-308,PROJ-006,Meeting Transcript & Minutes Generator,Test Case,Upload a valid TXT transcript.,Transcript contents populate the application.,PASS,TXT upload behavior is directly tested.,5,TC-305,project_derived
GE-309,PROJ-006,Meeting Transcript & Minutes Generator,Test Case,Reject a PDF as transcript upload.,HTTP 400 invalid-format response is returned.,PASS,Negative file validation is appropriate.,5,TC-306,project_derived
GE-310,PROJ-006,Meeting Transcript & Minutes Generator,Test Case,Upload a supported MP4 recording.,MP4 is accepted and can enter transcription flow.,PASS,Media acceptance is directly covered.,5,TC-308,project_derived
GE-311,PROJ-006,Meeting Transcript & Minutes Generator,Test Case,Reject media larger than 500 MB.,File-size validation rejects the media.,PASS,Boundary validation is directly tested.,5,TC-318,project_derived
